Transcription Factor Family	Gene Symbol	Gene Name	Also Known As	Source Material for Membership
A-T RICH INTERACTION DOMAIN TRANSCRIPTION FACTORS	retn	retained	dri, dead ringer, l(2)02535, Dead Ringer/Retain	(Wilsker et al., 2002, Gregory et al., 1996)
BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTORS	ac	achaete	Hw, T5, AS-C T5, EG:125H10.3, ASC	(Shaman et al., 2014, Pfreundt et al., 2010, Simionato et al., 2007, Ledent and Vervoort, 2001)
BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTORS	amos	absent MD neurons and olfactory sensilla	Tft, Roi	(Shaman et al., 2014, Pfreundt et al., 2010, Simionato et al., 2007, Ledent and Vervoort, 2001)
BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTORS	ase	asense	T8, EG:165H7.2, T1a, AS-C T8	(Shaman et al., 2014, Pfreundt et al., 2010, Simionato et al., 2007, Ledent and Vervoort, 2001)
BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTORS	ato	atonal		(Shaman et al., 2014, Pfreundt et al., 2010, Simionato et al., 2007, Ledent and Vervoort, 2001)
BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTORS	bigmax	bigmax	Mlx	(Shaman et al., 2014, Pfreundt et al., 2010, Simionato et al., 2007, Ledent and Vervoort, 2001)
BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTORS	cato	cousin of atonal		(Shaman et al., 2014, Pfreundt et al., 2010, Simionato et al., 2007, Ledent and Vervoort, 2001)
BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTORS	CG33557			(Pfreundt et al., 2010, Simionato et al., 2007, Ledent and Vervoort, 2001)
BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTORS	Clk	Clock	dClk, dClock, Jrk	(Shaman et al., 2014, Pfreundt et al., 2010, Simionato et al., 2007, Ledent and Vervoort, 2001)
BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTORS	crp	cropped	dAP-4, l(2)35Fd, AP-4, BG:DS02740.3	(Shaman et al., 2014, Pfreundt et al., 2010, Simionato et al., 2007, Ledent and Vervoort, 2001)
