mcl1	mcl3	mcl5	ortho_group	species	gene_id	desc	symbol	Transcription Factor Family	Gene Symbol	Gene Name	Also Known As	Source Material for Membership
1	12	30	OG0000317	fly	FBgn0039747	Adenosine receptor	AdoR					
1	12	30	OG0000511	fly	FBgn0038653	alpha2-adrenergic-like octopamine receptor	Octalpha2R					
1	12	30	OG0000819	fly	FBgn0266137	Dopamine 1-like receptor 2	Dop1R2					
1	12	30	OG0000874	fly	FBgn0087012	5-hydroxytryptamine (serotonin) receptor 2A	5-HT2A					
1	12	30	OG0001068	fly	FBgn0011582	Dopamine 1-like receptor 1	Dop1R1					
1	12	30	OG0003210	fly	FBgn0004514	Octopamine-Tyramine receptor	Oct-TyrR					
1	12	30	OG0003210	fly	FBgn0004573	5-hydroxytryptamine (serotonin) receptor 7	5-HT7					
1	12	30	OG0003292	fly	FBgn0038063	Octopamine beta2 receptor	Octbeta2R					
1	12	30	OG0003292	fly	FBgn0038980	Octopamine beta1 receptor	Octbeta1R					
1	12	30	OG0003292	fly	FBgn0250910	Octopamine beta3 receptor	Octbeta3R					
1	12	30	OG0003657	fly	FBgn0053517	Dopamine 2-like receptor	Dop2R					
1	12	30	OG0005969	fly	FBgn0035538	Dopamine/Ecdysteroid receptor	DopEcR					
1	12	30	OG0016950	fly	FBgn0038541	Tyramine receptor II	TyrRII					
1	12	30	OG0016950	fly	FBgn0038542	Tyramine receptor	TyrR					
1	12	30	OG0016981	fly	FBgn0004168	5-hydroxytryptamine (serotonin) receptor 1A	5-HT1A					
1	12	30	OG0016981	fly	FBgn0263116	5-hydroxytryptamine (serotonin) receptor 1B	5-HT1B					
1	12	30	OG0026441	fly	FBgn0024944	Octopamine receptor in mushroom bodies	Oamb					
1	12	30	OG0026597	fly	FBgn0261929	5-hydroxytryptamine (serotonin) receptor 2B	5-HT2B					
1	12	30	OG0027005	fly	FBgn0039419		CG12290					
1	12	30	OG0027918	fly	FBgn0029909	muscarinic Acetylcholine Receptor, C-type	mAChR-C					
1	14	38	OG0000064	fly	FBgn0036789	Allatostatin C receptor 2	AstC-R2					
1	14	38	OG0000064	fly	FBgn0036790	Allatostatin C receptor 1	AstC-R1					
1	14	38	OG0000586	fly	FBgn0039595	Allatostatin A receptor 2	AstA-R2					
1	14	38	OG0000586	fly	FBgn0266429	Allatostatin A receptor 1	AstA-R1					
1	14	38	OG0000992	fly	FBgn0038880	SIFamide receptor	SIFaR					
1	14	38	OG0001398	fly	FBgn0038874	ETHR	ETHR					
1	14	38	OG0001420	fly	FBgn0050106	CCHamide-1 receptor	CCHa1-R					
1	14	38	OG0001533	fly	FBgn0037100	Capability receptor	CapaR					
1	14	38	OG0016854	fly	FBgn0038140	Pyrokinin 2 receptor 1	PK2-R1					
1	14	46	OG0001420	fly	FBgn0033058	CCHamide-2 receptor	CCHa2-R					
1	14	47	OG0016854	fly	FBgn0038139	Pyrokinin 2 receptor 2	PK2-R2					
1	15	49	OG0025842	fly	FBgn0035010		CG13579					
1	16	53	OG0001458	fly	FBgn0002940	neither inactivation nor afterpotential E	ninaE					
1	16	53	OG0001458	fly	FBgn0003248	Rhodopsin 2	Rh2					
1	16	53	OG0001458	fly	FBgn0003249	Rhodopsin 3	Rh3					
1	16	53	OG0001458	fly	FBgn0003250	Rhodopsin 4	Rh4					
1	16	53	OG0001458	fly	FBgn0014019	Rhodopsin 5	Rh5					
1	16	53	OG0001458	fly	FBgn0019940	Rhodopsin 6	Rh6					
1	16	53	OG0001458	fly	FBgn0036260	Rhodopsin 7	Rh7					
1	16	53	OG0026404	fly	FBgn0034996		CG13575					
1	17	58	OG0000252	fly	FBgn0000037	muscarinic Acetylcholine Receptor, A-type	mAChR-A					
1	17	58	OG0014538	fly	FBgn0037546	muscarinic Acetylcholine Receptor, B-type	mAChR-B					
1	18	60	OG0000528	fly	FBgn0004622	Tachykinin-like receptor at 99D	TkR99D					
